"mf","s","pi.sel.98","SegSites.sel.98","TajD.sel.98","HapNum.sel.98","Fixed.sel.98","Singletons.sel.98","Doubletons.sel.98","H1.sel.98","H2.sel.98","H2.H1.sel.98","H12.sel.98","Freq.sel.98","Singletons.Fixed.sel.98","ehh.sel.98","ihh.sel.98","seed","ID"
1.66666666666667e-05,1865,1.43067669172932,38,-2.06210573816352,23,4962,12,6,0.577525,0.00749999999999995,0.0129864508029955,0.687,0.9925,0.00241837968561064,0.769814009108719,4335.53357250083,9211911,470
1.66666666666667e-05,1865,0.636729323308271,35,-2.3900998044121,25,4965,10,6,0.74925,0.00102500000000005,0.00136803470136811,0.770875,0.9725,0.00201409869083585,0.892700023851801,4759.02597196088,955776,499
1.66666666666667e-05,1865,0.770137844611529,34,-2.30281526004146,19,4966,9,5,0.6451,0.00509999999999999,0.00790575104634939,0.7251,0.985,0.0018123238018526,0.816419317756164,4729.17479107736,2520387,500
1.66666666666667e-05,1865,2.11760651629073,30,-1.4288713210765,27,4970,9,3,0.298675,0.14265,0.477609441700845,0.589,0.975,0.00181086519114688,0.605075472941797,4157.40506888142,6706826,498
1.66666666666667e-05,1865,0.640075187969925,20,-1.9794915127592,18,4980,8,1,0.6732,0.00489375000000003,0.00726938502673801,0.763125,0.9675,0.00160642570281125,0.852960865432248,4565.78394987348,8681406,501
1.66666666666667e-05,1865,0.709598997493734,35,-2.3529848213893,19,4965,15,1,0.856075,0.00044999999999995,0.000525654878369244,0.8792,0.9725,0.00302114803625378,0.951938621365913,4891.37412874672,4337800,521
1.66666666666667e-05,1865,0.544974937343358,24,-2.19642573843344,16,4976,10,1,0.8425375,0.000731249999999961,0.000867913891073051,0.8700625,0.98,0.0020096463022508,0.937777284826974,4867.67070958818,8164697,517
1.66666666666667e-05,1865,0.256190476190476,17,-2.19262053224555,15,4983,8,4,0.8380875,0.000862499999999988,0.00102912882008142,0.8792625,0.9725,0.00160545855910094,0.934387671269181,4884.60149603795,8947322,506
1.66666666666667e-05,1865,0.814611528822055,30,-2.18867351606511,24,4970,8,3,0.5316125,0.00598750000000003,0.011262902960333,0.5787375,0.9825,0.00160965794768612,0.857142857142857,4786.14285714286,5466806,511
1.66666666666667e-05,1865,0.193395989974937,13,-2.07712936761154,14,4987,3,4,0.837925,0.000700000000000034,0.000835396962735369,0.8608,0.9875,0.00060156406657309,1,5000,9800427,504
1.66666666666667e-05,1865,1.16968671679198,22,-1.65727013469894,16,4978,5,4,0.523475,0.019375,0.0370122737475525,0.697425,0.98,0.00100441944556047,0.753170833550812,4590.11587243593,3722340,514
1.66666666666667e-05,1865,0.514724310776942,32,-2.40183270593496,16,4968,17,1,0.839,0.00177499999999997,0.00211561382598328,0.9122,0.98,0.0034219001610306,0.936009186283209,4791.46382900987,9802797,519
1.66666666666667e-05,1865,1.17170426065163,26,-1.83903026393639,16,4974,6,5,0.7326375,0.00588124999999995,0.00802750336967456,0.85625,0.9825,0.00120627261761158,0.870988471724568,4700.19228722023,6448732,515
1.66666666666667e-05,1865,1.57649122807018,36,-1.93997675611971,21,4964,7,4,0.5311375,0.0199125,0.0374902920618484,0.7098875,0.9875,0.00141015310233683,0.75561909657521,4353.16803315556,437005,508
1.66666666666667e-05,1865,0.377230576441103,23,-2.28824753649589,24,4977,10,5,0.709225,0.00362499999999999,0.00511121294370614,0.793225,0.9825,0.00200924251557163,0.861725606273044,4678.33055512281,598241,512
1.66666666666667e-05,1865,0.902268170426065,39,-2.32970832331095,20,4961,4,7,0.6400375,0.00403125000000004,0.00629845907466366,0.7038375,0.9825,0.000806289054626083,0.820649633899361,4543.54825517993,9357495,516
1.66666666666667e-05,1865,0.727167919799499,23,-2.03200153800744,17,4977,6,2,0.6907625,0.00600624999999999,0.00869510142777002,0.802475,0.98,0.00120554550934298,0.854493971501644,4457.01273552899,724660,502
1.66666666666667e-05,1865,0.531177944862155,26,-2.26165370069041,18,4974,3,9,0.70045,0.00322500000000003,0.00460418302519813,0.76725,0.98,0.00060313630880579,0.851910329349131,4638.12319275536,5794832,513
1.66666666666667e-05,1865,0.70219298245614,25,-2.11813798619012,23,4975,7,5,0.6071875,0.00656250000000003,0.0108080288214102,0.7118125,0.98,0.0014070351758794,0.806252935956991,4536.82232893157,5521573,507
1.66666666666667e-05,1865,0.307944862155388,21,-2.28368685764027,20,4979,2,9,0.771025,0.00101874999999996,0.00132129308388179,0.79735,0.9875,0.000401687085760193,0.887251815202724,4725.67922637024,1812767,518
1.66666666666667e-05,1865,0.485827067669173,22,-2.17710853879602,17,4978,11,4,0.714275,0.00446875000000002,0.00625634384515771,0.8111625,0.9775,0.00220972278023303,0.864076332874287,4786.80100990229,6225896,520
1.66666666666667e-05,1865,0.662205513784461,22,-2.0430338203018,21,4978,6,2,0.636575,0.00455000000000005,0.00714762596708959,0.708125,0.97,0.00120530333467256,0.840909090909091,4534.23484848485,137152,510
1.66666666666667e-05,1865,0.307368421052632,27,-2.42980912008967,15,4973,18,1,0.829175,0.00107500000000005,0.00129646938221732,0.861025,0.985,0.00361954554594812,0.925646788339081,4897.80272148384,4096973,503
1.66666666666667e-05,1865,0.617180451127819,32,-2.34536334708053,17,4968,8,7,0.83345,0.000793750000000037,0.000952366668666432,0.8653875,0.9825,0.00161030595813205,0.926078828477956,4828.32634236901,7688460,528
1.66666666666667e-05,1865,0.596791979949875,25,-2.19005163781633,22,4975,9,4,0.8063375,0.00083124999999995,0.00103089587176579,0.8422375,0.985,0.00180904522613065,0.911070639748905,4728.97248162643,4477967,523
1.66666666666667e-05,1865,0.451340852130326,38,-2.52577600387391,25,4962,15,14,0.78415,0.000924999999999954,0.00117962124593503,0.815125,0.9775,0.0030229746070133,0.886222047347367,4791.34941963408,1996190,526
1.66666666666667e-05,1865,1.05285714285714,36,-2.20010749980181,24,4964,8,6,0.662825,0.00266875,0.00402632670765285,0.7075125,0.98,0.0016116035455278,0.835716895453834,4594.98500052195,7582540,524
1.66666666666667e-05,1865,0.851240601503759,39,-2.35331363072568,20,4961,14,5,0.8199125,0.000887500000000041,0.00108243257664695,0.8606375,0.9775,0.00282201169119129,0.92742474916388,4835.67159157978,540446,525
1.66666666666667e-05,1865,0.344285714285714,16,-2.06508810709282,13,4984,4,3,0.7893125,0.00165625000000003,0.00209834507878695,0.82925,0.97,0.000802568218298555,0.917299342017635,4745.95450065265,21087,531
1.66666666666667e-05,1865,0.47265664160401,24,-2.24750974273971,19,4976,10,7,0.759525,0.00262499999999999,0.00345610743556827,0.824775,0.9825,0.0020096463022508,0.888196499974035,4807.09685439061,5324669,529
1.66666666666667e-05,1865,0.316591478696742,22,-2.30575358840628,18,4978,9,2,0.7587375,0.00183750000000005,0.00242178619087635,0.8109375,0.9875,0.00180795500200884,0.882895328664139,4668.03392019533,5872112,522
1.66666666666667e-05,1865,0.925438596491228,38,-2.30131262960332,20,4962,10,3,0.776025,0.00162499999999999,0.0020940047034567,0.820025,0.9825,0.00201531640467553,0.89188347094563,4687.67848055253,1850026,509
1.66666666666667e-05,1865,0.385062656641604,24,-2.30938414753971,17,4976,10,3,0.8379,0.000674999999999981,0.000805585392051535,0.86535,0.985,0.0020096463022508,0.916146781880885,4834.26155048372,1297190,527
1.66666666666667e-05,1865,0.51516290726817,31,-2.38295929693108,13,4969,8,2,0.8793625,0.000456250000000047,0.000518841774581071,0.9028,0.98,0.00160998188770376,0.952287436713816,4856.94125476277,1467576,532
1.66666666666667e-05,1865,0.661967418546366,30,-2.27768332128689,20,4970,10,4,0.7469375,0.00303125000000004,0.00405823780436789,0.828875,0.9725,0.00201207243460765,0.889857684255161,4736.20644396152,7164312,494
1.66666666666667e-05,1865,0.512142857142857,27,-2.29900334712809,20,4973,10,2,0.7177,0.00367499999999998,0.00512052389577816,0.806425,0.9825,0.00201085863663784,0.851800643921691,4591.5251466999,9530191,493
1.66666666666667e-05,1865,0.331641604010025,21,-2.26495937185183,16,4979,7,2,0.833425,0.000768749999999985,0.000922398536161004,0.8653625,0.98,0.00140590480016067,0.927703690171721,4782.66149068323,4651462,492
1.66666666666667e-05,1865,0.474360902255639,22,-2.185824586215,14,4978,3,4,0.8425125,0.000706250000000019,0.000838266494562418,0.86545,0.985,0.00060265166733628,0.920751475697808,4911,9871204,495
1.66666666666667e-05,1865,1.01388471177945,40,-2.29589291533942,21,4960,9,4,0.6913,0.00239999999999996,0.00347171994792414,0.7328,0.975,0.00181451612903226,0.82522575967306,4506.09313163272,7199984,491
1.66666666666667e-05,1865,0.384360902255639,19,-2.15387435526923,20,4981,6,2,0.651325,0.00329999999999997,0.00506659501784819,0.699625,0.9925,0.00120457739409757,1,5000,2023858,533
1.66666666666667e-05,1865,0.497518796992481,22,-2.16822102814912,16,4978,11,3,0.81145,0.00144999999999995,0.00178692464107456,0.86545,0.985,0.00220972278023303,1,5000,2900895,563
1.66666666666667e-05,1865,0.676604010025063,23,-2.06902759365295,15,4977,8,1,0.6735875,0.00528125000000002,0.00784048100655077,0.7635125,0.98,0.0016073940124573,0.845836160551177,4613.17204055535,8524097,538
1.66666666666667e-05,1865,0.456240601503759,30,-2.39764670461553,23,4970,5,7,0.7536125,0.00105624999999998,0.00140158237821159,0.783975,0.985,0.00100603621730382,0.879761305072267,4721.88851861898,4373153,537
1.66666666666667e-05,1865,0.983709273182957,27,-1.99777624705361,18,4973,5,2,0.406075,0.16105,0.396601613002524,0.802075,0.9725,0.00100542931831892,0.695617894151008,3655.57180717144,602375,541
